title,category_label,author_group,source_work,life,strength_adjusted,strength_stars,complexity,complexity_stars,electronicization_level,roles,risks,needs_author_review,summary
丁鹏,战斗人物,古龙,圆月弯刀,3200,3.1,★★★☆☆,3.45,★★★☆☆,低,爆发输出、控制/封锁,循环/累积风险、状态交互风险,,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 82%，同类复杂度分位 37%。
高渐飞,战斗人物,古龙,英雄无泪,2000,3.61,★★★★☆,4.0,★★★★☆,中,爆发输出、持续输出、控制/封锁、资源/学习、阵营/结盟、规则解释高风险,文本解释风险、循环/累积风险、状态交互风险、目标/来源风险、随机/人工裁定风险,自动理解置信度不高,第二轮按同类分布校正后，强度为 ★★★★☆；同类强度分位 91%，同类复杂度分位 62%。
萧泪血,战斗人物,古龙,英雄无泪,3300,2.23,★★☆☆☆,3.47,★★★☆☆,高,持续输出、控制/封锁、资源/学习、阵营/结盟,随机/人工裁定风险、循环/累积风险、文本解释风险,电子化/结算风险较高,第二轮按同类分布校正后，强度为 ★★☆☆☆；同类强度分位 21%，同类复杂度分位 38%。
风四娘,战斗人物,古龙,萧十一郎,2000,2.45,★★☆☆☆,3.91,★★★★☆,中,爆发输出、阵营/结盟,随机/人工裁定风险、状态交互风险,,第二轮按同类分布校正后，强度为 ★★☆☆☆；同类强度分位 37%，同类复杂度分位 58%。
哥舒天,战斗人物,古龙,萧十一郎,3050,3.69,★★★★☆,5.0,★★★★★,高,爆发输出、肉盾/生存、控制/封锁、位置/场景,目标/来源风险、空间状态风险、文本解释风险、状态交互风险,自动理解置信度不高、电子化/结算风险较高、同类复杂度前 10%,第二轮按同类分布校正后，强度为 ★★★★☆；同类强度分位 93%，同类复杂度分位 95%。
连城璧,战斗人物,古龙,萧十一郎,2000,2.29,★★☆☆☆,3.47,★★★☆☆,低,爆发输出,状态交互风险、文本解释风险、结算顺序风险,,第二轮按同类分布校正后，强度为 ★★☆☆☆；同类强度分位 25%，同类复杂度分位 38%。
萧十一郎,战斗人物,古龙,萧十一郎,11,3.68,★★★★☆,3.27,★★★☆☆,低,肉盾/生存、控制/封锁,状态交互风险、文本解释风险、目标/来源风险,,第二轮按同类分布校正后，强度为 ★★★★☆；同类强度分位 93%，同类复杂度分位 28%。
柴玉关,战斗人物,古龙,武林外史,4200,2.45,★★☆☆☆,3.22,★★★☆☆,中,肉盾/生存、资源/学习,状态交互风险、随机/人工裁定风险、文本解释风险,,第二轮按同类分布校正后，强度为 ★★☆☆☆；同类强度分位 37%，同类复杂度分位 26%。
沈浪,战斗人物,古龙,武林外史,2200,2.94,★★★☆☆,3.41,★★★☆☆,低,肉盾/生存、阵营/结盟,状态交互风险、结算顺序风险,,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 72%，同类复杂度分位 35%。
王怜花,战斗人物,古龙,武林外史,2000 1000,2.64,★★★☆☆,3.07,★★★☆☆,中,肉盾/生存、资源/学习、规则解释高风险,目标/来源风险、文本解释风险、随机/人工裁定风险,,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 50%，同类复杂度分位 20%。
熊猫儿,战斗人物,古龙,武林外史,3000,2.41,★★☆☆☆,2.83,★★★☆☆,低,控制/封锁、资源/学习、阵营/结盟,状态交互风险、目标/来源风险,,第二轮按同类分布校正后，强度为 ★★☆☆☆；同类强度分位 35%，同类复杂度分位 13%。
白飞飞,战斗人物,古龙,武林外史,700,4.08,★★★★☆,5.0,★★★★★,极高,持续输出、肉盾/生存、控制/封锁、位置/场景、胜负特判,空间状态风险、状态交互风险、循环/累积风险、文本解释风险、目标/来源风险、结算顺序风险、胜负裁定风险,自动理解置信度不高、电子化/结算风险较高、同类复杂度前 10%、同类强度前 5%,第二轮按同类分布校正后，强度为 ★★★★☆；同类强度分位 99%，同类复杂度分位 95%。
傅红雪,战斗人物,古龙,天涯明月刀,2000,3.92,★★★★☆,5.0,★★★★★,极高,爆发输出、持续输出、肉盾/生存、控制/封锁,状态交互风险、随机/人工裁定风险、循环/累积风险、目标/来源风险、空间状态风险,自动理解置信度不高、电子化/结算风险较高、同类复杂度前 10%、同类强度前 5%,第二轮按同类分布校正后，强度为 ★★★★☆；同类强度分位 97%，同类复杂度分位 95%。
谢晓峰,战斗人物,古龙,三少爷的剑,2600,2.2,★★☆☆☆,3.07,★★★☆☆,低,肉盾/生存,状态交互风险、结算顺序风险,,第二轮按同类分布校正后，强度为 ★★☆☆☆；同类强度分位 18%，同类复杂度分位 20%。
燕十三,战斗人物,古龙,三少爷的剑,2500,1.91,★★☆☆☆,3.65,★★★★☆,低,肉盾/生存、控制/封锁、胜负特判,目标/来源风险、状态交互风险、胜负裁定风险,,第二轮按同类分布校正后，强度为 ★★☆☆☆；同类强度分位 14%，同类复杂度分位 47%。
小马,战斗人物,古龙,拳头,2500,2.78,★★★☆☆,3.27,★★★☆☆,低,阵营/结盟,随机/人工裁定风险,,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 61%，同类复杂度分位 28%。
杜云天,战斗人物,古龙,情人箭,3999,2.93,★★★☆☆,2.88,★★★☆☆,低,爆发输出、肉盾/生存、控制/封锁、阵营/结盟,状态交互风险、目标/来源风险,,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 71%，同类复杂度分位 14%。
