title,category_label,author_group,source_work,life,final_strength,strength_stars,final_complexity,complexity_stars,rule_boundary,electronicization_level,roles,rule_concepts,risks,needs_author_review,summary
丁鹏,战斗人物,古龙,圆月弯刀,3200,3.18,★★★☆☆,3.45,★★★☆☆,3.14,低,爆发输出、控制/封锁、资源/学习,攻击/伤害/生命流失、杀死/死亡/生命、专属/身份、学习/复制/特技所有权,循环/累积风险、攻击/伤害/生命流失概念边界、状态交互风险,,第四轮收敛：最终影响力 ★★★☆☆，最终复杂度 ★★★☆☆；规则边界分位 50%。
高渐飞,战斗人物,古龙,英雄无泪,2000,3.69,★★★★☆,4.5,★★★★☆,4.46,中,爆发输出、持续输出、控制/封锁、资源/学习、阵营/结盟、规则解释高风险、人工裁定,杀死/死亡/生命、攻击/伤害/生命流失、文本修改/人工裁定、玩家/一方/阵营/结盟、专属/身份,文本解释风险、循环/累积风险、人工裁定边界、攻击/伤害/生命流失概念边界、状态交互风险、目标/来源风险、随机/人工裁定风险,规则概念边界复杂、人工裁定边界,第四轮收敛：最终影响力 ★★★★☆，最终复杂度 ★★★★☆；规则边界分位 82%。
萧泪血,战斗人物,古龙,英雄无泪,3300,2.31,★★☆☆☆,3.47,★★★☆☆,2.55,高,持续输出、控制/封锁、资源/学习、阵营/结盟,学习/复制/特技所有权、杀死/死亡/生命、玩家/一方/阵营/结盟,随机/人工裁定风险、循环/累积风险、文本解释风险,电子化/结算风险较高,第四轮收敛：最终影响力 ★★☆☆☆，最终复杂度 ★★★☆☆；规则边界分位 30%。
风四娘,战斗人物,古龙,萧十一郎,2000,2.53,★★★☆☆,3.91,★★★★☆,2.47,中,爆发输出、阵营/结盟,攻击/伤害/生命流失、玩家/一方/阵营/结盟、杀死/死亡/生命,随机/人工裁定风险、攻击/伤害/生命流失概念边界、状态交互风险,,第四轮收敛：最终影响力 ★★★☆☆，最终复杂度 ★★★★☆；规则边界分位 27%。
哥舒天,战斗人物,古龙,萧十一郎,3050,3.77,★★★★☆,5.0,★★★★★,5.0,高,爆发输出、肉盾/生存、控制/封锁、位置/场景、对象清除裁定、空间/离场裁定,场景/地点/空间、杀死/死亡/生命、专属/身份、攻击/伤害/生命流失、清除/卡与人物单元、离场/不在场/找不到/无此人、玩家/一方/阵营/结盟,目标/来源风险、空间状态风险、卡对象与人物单元边界、存在状态边界、攻击/伤害/生命流失概念边界、文本解释风险、状态交互风险,电子化/结算风险较高、规则概念边界复杂、同类规则边界复杂度前 10%、同类文本复杂度靠前,第四轮收敛：最终影响力 ★★★★☆，最终复杂度 ★★★★★；规则边界分位 95%。
连城璧,战斗人物,古龙,萧十一郎,2000,2.37,★★☆☆☆,3.47,★★★☆☆,3.32,低,爆发输出、资源/牌堆,专属/身份、杀死/死亡/生命、回合/轮/时机、牌堆/弃牌/本局弃卡,状态交互风险、回合/轮/时机边界、文本解释风险、结算顺序风险,,第四轮收敛：最终影响力 ★★☆☆☆，最终复杂度 ★★★☆☆；规则边界分位 54%。
萧十一郎,战斗人物,古龙,萧十一郎,11,3.76,★★★★☆,3.27,★★★☆☆,2.47,低,肉盾/生存、控制/封锁,攻击/伤害/生命流失、杀死/死亡/生命、专属/身份,状态交互风险、攻击/伤害/生命流失概念边界、文本解释风险、目标/来源风险,,第四轮收敛：最终影响力 ★★★★☆，最终复杂度 ★★★☆☆；规则边界分位 27%。
柴玉关,战斗人物,古龙,武林外史,4200,2.45,★★☆☆☆,3.22,★★★☆☆,3.57,中,肉盾/生存、资源/学习、资源/牌堆,回合/轮/时机、专属/身份、学习/复制/特技所有权、牌堆/弃牌/本局弃卡,状态交互风险、随机/人工裁定风险、回合/轮/时机边界、文本解释风险,,第四轮收敛：最终影响力 ★★☆☆☆，最终复杂度 ★★★☆☆；规则边界分位 63%。
沈浪,战斗人物,古龙,武林外史,2200,2.94,★★★☆☆,3.41,★★★☆☆,2.66,低,肉盾/生存、阵营/结盟、多人一卡,多人一卡/共享生命、玩家/一方/阵营/结盟,多人一卡结构边界、状态交互风险、结算顺序风险,,第四轮收敛：最终影响力 ★★★☆☆，最终复杂度 ★★★☆☆；规则边界分位 34%。
王怜花,战斗人物,古龙,武林外史,2000 1000,2.72,★★★☆☆,3.57,★★★★☆,4.84,中,肉盾/生存、资源/学习、规则解释高风险、人工裁定、资源/牌堆、对象清除裁定,杀死/死亡/生命、文本修改/人工裁定、清除/卡与人物单元、牌堆/弃牌/本局弃卡,目标/来源风险、人工裁定边界、卡对象与人物单元边界、文本解释风险、随机/人工裁定风险,规则概念边界复杂、人工裁定边界,第四轮收敛：最终影响力 ★★★☆☆，最终复杂度 ★★★★☆；规则边界分位 88%。
熊猫儿,战斗人物,古龙,武林外史,3000,2.49,★★☆☆☆,2.83,★★★☆☆,3.26,低,控制/封锁、资源/学习、阵营/结盟、对象清除裁定,攻击/伤害/生命流失、清除/卡与人物单元、杀死/死亡/生命、玩家/一方/阵营/结盟,状态交互风险、目标/来源风险、卡对象与人物单元边界、攻击/伤害/生命流失概念边界,,第四轮收敛：最终影响力 ★★☆☆☆，最终复杂度 ★★★☆☆；规则边界分位 53%。
